,aqi,pm10,co,o3,so2,no2,pm25,city_name,lon,lat,state_code
181,26,6.66639,290.811,56.0,2.09361,1.61456,6.0,Bay City,-83.89,43.59,MI
182,20,1.17139,333.786,43.3333,0.529923,0.198474,0.878545,Knoxville,-83.92,35.97,TN
183,40,6.66639,290.811,86.0,2.09361,1.61456,4.99979,Saginaw,-83.95,43.42,MI
184,14,1.85818,346.72,30.0,0.371132,0.157306,1.39364,London,-84.08,37.13,KY
185,36,11.6188,387.192,62.0,0.0,1.37091,8.71412,Lima,-84.11,40.74,OH
186,18,0.0322288,322.938,40.0,0.19907,0.463217,0.0111399,Albany,-84.16,31.58,GA
187,35,11.2524,160.3,44.3636,1.875,1.79128,8.43934,Dayton,-84.2,39.75,OH
188,19,2.36989,342.131,41.0,0.922009,0.384229,1.77742,Oak Ridge,-84.27,36.01,TN
189,15,0.113467,380.099,33.0,0.183238,0.142914,0.0851,Tallahassee,-84.28,30.45,FL
190,12,0.395447,258.267,26.0,0.0888249,0.511413,0.296585,Sault Ste. Marie,-84.35,46.5,MI
191,12,4.0,417.925,24.0,0.625,4.58333,2.9,Buckhead,-84.4,33.83,GA
192,57,30.0,137.4,39.75,3.5,4.375,15.2,Cincinnati,-84.46,39.16,OH
193,21,3.5871,350.058,46.0,1.38767,0.380212,2.60782,Hollywood,-84.5,38.05,KY
194,57,30.0,137.4,39.75,3.5,4.375,15.2,Covington,-84.51,39.08,KY
195,12,4.0,417.925,24.0,0.625,4.58333,2.9,Marietta,-84.54,33.96,GA
196,30,2.07246,277.877,65.0,1.25,5.0,1.55434,Lansing,-84.55,42.73,MI
197,23,4.01699,351.31,49.0,1.44541,0.441127,3.18238,Frankfort,-84.87,38.2,KY
198,33,10.602,160.3,42.0,0.0,0.989356,7.95147,Richmond,-84.89,39.83,IN
199,26,0.630103,275.791,56.0582,0.129454,0.403641,0.25596,Petoskey,-84.96,45.37,MI
200,17,0.837965,374.675,36.6667,0.366941,0.396947,0.628473,Dalton,-84.97,34.77,GA
201,19,0.410743,389.278,42.0,1.53296,0.424392,0.308057,Dinglewood,-84.98,32.47,GA
202,34,28.0438,349.641,40.0,0.212574,0.000100179,8.20485,Apalachicola,-84.99,29.73,FL
203,19,1.26753,386.357,42.0,3.69176,0.871543,1.12564,La Grange,-85.03,33.04,GA
204,38,12.7947,372.589,70.0,1.25542,2.50887,9.19073,Dwenger Field,-85.13,41.08,IN
205,14,2.30951,270.784,30.0,0.496395,1.15135,1.73213,Battle Creek,-85.18,42.32,MI
206,17,1.11285,377.178,36.0,0.499189,0.378204,0.834638,East Chattanooga,-85.25,35.07,TN
207,36,11.5898,394.702,51.0,1.70246,1.29192,8.69234,Muncie,-85.39,40.19,IN
208,22,0.0864344,319.183,48.0,0.236323,0.708213,0.0648258,Dothan,-85.39,31.22,AL
209,24,1.17279,277.042,51.0,0.258442,0.0,0.879594,Cadillac,-85.41,44.25,MI
210,28,0.482146,380.099,60.4391,1.35973,0.389584,0.361609,Auburn,-85.48,32.61,AL
211,14,2.9432,268.281,30.0,0.865199,1.84216,2.2074,Kalamazoo,-85.59,42.29,MI
212,29,1.20195,272.036,62.0,0.245869,0.53618,0.332419,Traverse City,-85.62,44.77,MI
213,16,2.73486,386.357,34.0,0.177184,0.217551,2.05115,Panama City,-85.66,30.16,FL
214,38,12.322,390.947,52.0,1.59256,2.31608,9.24147,Marion,-85.66,40.56,IN
215,33,14.0,515.25,71.5,0.0,1.8127,8.0,Grand Rapids,-85.67,42.96,MI
216,39,22.0,160.3,43.75,1.5625,7.5,9.4,German Town,-85.75,38.23,KY
217,39,22.0,160.3,44.5714,1.5625,7.5,9.4,Graysville,-85.82,38.31,IN
218,22,0.466665,379.682,48.0,0.740401,0.306914,0.349999,Enterprise,-85.84,31.33,AL
219,36,12.2846,297.904,67.2,1.20513,3.75,8.6,Elkhart,-85.97,41.68,IN
220,21,0.943662,377.595,46.0,0.758097,0.540196,0.746529,Gadsden,-86.01,34.01,AL
221,37,11.9242,375.926,51.3333,1.38022,1.98407,8.92073,Kokomo,-86.13,40.49,IN
222,59,38.0,309.15,44.5,0.0,5.625,16.0,Indianapolis,-86.17,39.75,IN
223,33,14.0,381.351,70.6667,0.664964,5.03915,8.0,Muskegon,-86.25,43.23,MI
224,36,11.1751,292.063,63.7143,1.38395,3.75,8.6,South Bend,-86.25,41.68,IN
225,15,1.80673,384.271,32.0,1.05798,0.366825,1.50386,Montgomery,-86.28,32.36,AL
226,17,2.61029,366.33,36.0,1.45845,0.554253,1.95772,Murfreesboro,-86.39,35.85,TN
227,22,4.38323,352.561,48.0,1.16974,0.387576,3.30362,Bowling Green,-86.44,36.99,KY
228,33,6.99135,287.89,70.5,1.4659,3.75,5.24351,Shady Acres Mobile Home Village,-86.45,42.12,MI
229,25,8.04089,370.085,54.0,3.14415,0.9184,5.89686,Bloomington,-86.53,39.17,IN
230,36,1.23214,325.441,77.9629,0.438187,0.957225,0.645545,Crestview,-86.57,30.75,FL
231,15,2.08571,374.675,33.0,1.017,0.504049,1.56428,West Huntsville,-86.61,34.72,AL
232,18,3.46895,358.82,39.3333,1.3262,0.611821,2.60172,Nashville,-86.78,36.17,TN
233,45,14.0,384.271,31.1429,1.25,0.824686,10.7,Fountain Heights,-86.82,33.53,AL
234,38,12.7621,384.688,56.0,1.35042,2.23308,9.07774,Lafayette,-86.88,40.42,IN
235,17,2.2885,362.158,37.1039,0.452157,0.165004,1.91697,Selma,-87.02,32.41,AL
236,21,2.63022,350.893,46.0,0.587665,0.205167,1.0,Highland Park,-87.04,35.61,TN
237,19,0.681357,286.221,42.0,0.143657,1.19419,0.351195,Escanaba,-87.06,45.75,MI
238,20,6.1621,68.7,43.2,2.5,0.0,4.62158,Owensboro,-87.11,37.77,KY
239,20,1.97009,323.355,44.0,0.0,2.16614,1.47756,Pensacola,-87.22,30.42,FL
240,50,21.0,297.07,56.0,1.875,8.75,12.1,Gary,-87.33,41.58,IN
241,29,5.68241,351.727,62.1378,4.41819,0.494008,4.0,Clarksville,-87.36,36.53,TN
242,27,0.666712,279.963,57.9357,0.250991,0.396278,0.265608,Sunnyside Estates Community,-87.41,46.55,MI
243,31,10.0874,400.96,33.3333,1.25,1.39768,7.4749,Terre Haute,-87.41,39.47,IN
244,18,4.60728,355.065,38.0,1.96323,0.516768,4.0,Hopkinsville,-87.49,36.87,KY
245,31,4.45316,364.244,66.34,2.9169,0.930449,3.49947,Madisonville,-87.5,37.33,KY
246,9,2.42651,361.323,18.0,0.398606,0.196465,2.0758,Riverview,-87.54,33.23,AL
247,20,5.21863,68.7,42.6667,2.5,0.0,3.91397,Evansville,-87.56,37.97,IN
248,28,1.28667,277.46,61.1544,0.311993,0.902335,0.589993,Marinette,-87.63,45.1,WI
249,19,3.00323,354.23,40.2778,0.841916,0.212865,2.25242,Florence,-87.68,34.8,AL
250,50,14.7839,300.825,67.7143,2.5,6.99377,12.1,Evanston,-87.7,42.05,IL
251,30,5.73969,372.589,65.6,1.92598,11.7384,5.4,Sheboygan,-87.71,43.75,WI
252,53,18.0,300.825,66.4615,1.875,8.75,13.5,Cicero,-87.75,41.83,IL
253,44,16.0,377.85,69.25,0.0,6.875,10.5,Racine,-87.81,42.73,WI
254,34,7.27997,346.72,74.1667,1.88872,14.8872,5.45998,Waukegan,-87.84,42.36,IL
255,38,12.239,322.521,38.0,1.19023,2.56242,9.17928,Kankakee,-87.86,41.12,IL
256,44,16.0,377.85,70.25,0.0,6.875,10.5,Milwaukee,-87.92,43.05,WI
257,24,2.77647,289.559,52.0,4.375,1.5503,2.08235,North Baird Mobile Home Park,-88,44.53,WI
258,18,1.77037,327.528,40.0,1.25,1.5262,1.32777,Mobile,-88.05,30.68,AL
259,27,0.763427,273.705,57.9357,0.19907,0.358792,0.388715,Iron Mountain,-88.06,45.82,MI
260,45,14.2882,313.342,61.1429,3.29316,6.28689,10.7162,Idylside,-88.11,41.53,IL
261,48,17.0,114.5,66.4444,0.0,5.0,11.5,West Bend,-88.18,43.43,WI
262,31,13.8926,114.5,66.0,2.5,1.27987,4.0,Urbana,-88.2,40.11,IL
263,44,16.0,377.85,60.5,0.0,6.875,10.5,Waukesha,-88.23,43.01,WI
264,37,16.7011,338.793,68.25,5.37187,16.3866,8.9,Elgin,-88.29,42.04,IL
265,51,16.7011,338.793,64.0,5.37187,16.3866,12.5259,Aurora,-88.3,41.77,IL
266,16,3.97179,287.473,34.0,4.375,2.38034,2.97884,Appleton,-88.4,44.27,WI
267,48,17.0,114.5,57.3333,0.0,4.54648,11.5,Fond du Lac,-88.45,43.77,WI
268,23,4.57874,307.083,50.0,7.5,2.82214,3.43406,Oshkosh,-88.54,44.03,WI
269,26,0.483874,275.791,55.2535,0.110944,0.366825,0.154637,Hancock,-88.58,47.13,MI
270,20,3.33235,355.482,44.0,2.96906,0.784523,2.56726,Paducah,-88.6,37.08,KY
271,16,3.02033,365.913,34.0,0.803731,0.289845,2.33939,Tupelo,-88.7,34.26,MS
272,10,1.50387,370.085,21.0,0.0,0.216547,1.1279,Meridian,-88.7,32.36,MS
273,17,3.23311,351.31,36.7016,1.29081,0.151282,2.42483,Jackson,-88.81,35.61,TN
274,15,4.78915,340.462,32.6667,1.25,3.26126,3.59186,Biloxi,-88.89,30.4,MS
275,34,13.7519,427.246,74.0,1.50129,1.63598,7.0,Decatur,-88.95,39.84,IL
276,32,14.0543,419.736,70.0,1.04122,4.24124,5.7,Bloomington,-88.99,40.48,IL
277,34,11.6469,310.004,58.8,1.25,6.01914,8.1,Janesville,-89.02,42.68,WI
278,34,11.6469,310.004,71.0,2.07126,6.01914,8.1,Rockford,-89.07,42.27,IL
279,18,3.48463,314.593,38.0,0.664033,1.82074,2.61347,Gulfport,-89.09,30.37,MS
280,30,6.05797,351.727,64.5518,1.03191,0.346074,4.54348,Laurel,-89.14,31.7,MS
281,25,3.63431,371.337,54.0,1.0822,0.615837,2.7096,Carbondale,-89.22,37.73,IL
282,30,6.05797,351.727,64.5518,1.03191,0.346074,4.54348,Hattiesburg,-89.29,31.33,MS
283,41,17.0,319.6,69.3333,1.25,5.50505,9.9,Madison,-89.4,43.07,WI
284,16,1.74878,294.149,34.0,1.25,1.68418,1.31159,Rhinelander,-89.41,45.64,WI
285,25,3.60427,369.251,54.0,0.86613,0.429747,2.89152,Cape Girardeau,-89.52,37.31,MO
286,9,3.60998,321.686,20.0,1.44541,3.32016,1.38353,Wausau,-89.63,44.96,WI
